registration_date,nationality_e,gender_e,vechile_type,manufacture_year,color,business_individual,km_driven,next_service_date,service_frequency,customer_age,customer_id,vehicle_age,churn_risk,upgrade_probability,churn_risk_predicted,upgrade_probability_predicted
10/09/2019,Egypt,MALE,Light Vehicle,2014,White,Private,120000,09/03/2026 12:00,medium,46,46,11,0,1,0.38,0.99
13/03/2017,Egypt,MALE,Light Vehicle,2005,Golden,Private,160000,09/09/2025 12:00,high,44,47,20,0,1,0.28,1
11/09/2018,Egypt,MALE,Light Vehicle,2019,White,Private,140000,10/03/2026 12:00,medium,42,48,6,0,0,0.27,0.6
16/11/2018,Egypt,MALE,Light Vehicle,2020,Blue,Private,140000,15/05/2026 12:00,medium,42,49,5,0,0,0.26,0.44
26/04/2016,Egypt,MALE,Light Vehicle,2020,White,Private,180000,23/10/2025 12:00,medium,42,50,5,0,1,0.12,0.87
05/11/2021,Egypt,MALE,Light Vehicle,2014,White,Private,80000,05/05/2026 12:00,low,41,51,11,1,1,0.62,0.91
18/06/2020,Egypt,MALE,Light Vehicle,2015,Blue,Private,100000,16/12/2025 12:00,high,40,52,10,0,1,0.64,0.93
16/08/2021,Egypt,MALE,Light Vehicle,2009,Blue,Private,80000,13/02/2026 12:00,medium,37,53,16,1,1,0.58,1
15/04/2021,Egypt,MALE,Light Vehicle,2006,White,Private,80000,13/10/2025 12:00,high,36,54,19,1,1,0.71,1
15/03/2019,Egypt,MALE,Light Vehicle,2020,Golden,Private,120000,11/09/2025 12:00,medium,35,55,5,0,0,0.34,0.22
29/06/2021,Egypt,MALE,Light Vehicle,2004,White,Private,80000,27/12/2025 12:00,high,34,56,21,1,1,0.71,1
03/09/2015,Egypt,MALE,Light Vehicle,2019,Blue,Private,200000,01/03/2026 12:00,high,34,57,6,0,1,0.12,0.99
27/05/2016,Egypt,MALE,Light Vehicle,2015,White,Private,180000,23/11/2025 12:00,high,33,58,10,0,1,0.2,1
06/05/2015,Egypt,MALE,Light Vehicle,2020,Red,Private,200000,01/11/2025 12:00,medium,30,59,5,0,1,0.07,0.97
20/04/2017,Egypt,MALE,Light Vehicle,2005,Blue,Private,160000,17/10/2025 12:00,medium,25,60,20,0,1,0.15,1
12/10/2017,Emirates,FEMALE,Heavy Vehicle,1999,White,Private,160000,10/04/2026 12:00,medium,82,61,26,0,1,0.36,1
05/12/2016,Emirates,FEMALE,Light Vehicle,2011,Gray,Private,180000,03/06/2026 12:00,low,77,62,14,1,1,0.26,1
09/11/2020,Emirates,FEMALE,Light Vehicle,2021,Silver,Private,100000,09/05/2026 12:00,medium,68,63,4,0,0,0.54,0.04
16/07/2017,Emirates,FEMALE,Light Vehicle,2021,Gray,VIP,160000,12/01/2026 12:00,high,65,64,4,0,1,0.47,0.67
22/12/2016,Emirates,FEMALE,Light Vehicle,2021,Black,Private,180000,20/06/2026 12:00,low,64,65,4,1,1,0.14,0.8
09/11/2018,Emirates,FEMALE,Light Vehicle,2021,White,Private,140000,08/05/2026 12:00,high,55,66,4,0,0,0.44,0.42
28/12/2015,Emirates,FEMALE,Light Vehicle,2020,Silver,Private,200000,25/06/2026 12:00,low,54,67,5,1,1,0.12,0.98
31/08/2020,Emirates,FEMALE,Light Vehicle,2006,Blue,Private,100000,28/02/2026 12:00,high,53,68,19,0,1,0.62,1
26/07/2015,Emirates,FEMALE,Light Vehicle,2010,Gray,Private,200000,21/01/2026 12:00,low,52,69,15,1,1,0.18,1
07/12/2021,Emirates,FEMALE,Light Vehicle,2020,White,Private,80000,06/06/2026 12:00,high,44,70,5,1,0,0.74,0.06
10/06/2020,Emirates,FEMALE,Light Vehicle,2014,White,Private,100000,08/12/2025 12:00,low,43,71,11,1,1,0.57,0.97
04/06/2016,Emirates,FEMALE,Light Vehicle,2016,White,Private,180000,01/12/2025 12:00,medium,39,72,9,0,1,0.13,1
16/01/2015,Emirates,FEMALE,Light Vehicle,2021,Silver,Private,200000,14/07/2025 12:00,low,36,73,4,1,1,0.1,0.93
07/10/2020,Emirates,FEMALE,Light Vehicle,2000,White,Private,100000,06/04/2026 12:00,high,35,74,25,0,1,0.67,1
18/12/2019,Emirates,FEMALE,Light Vehicle,2012,Black,Private,120000,16/06/2026 12:00,medium,35,75,13,0,1,0.35,1
11/02/2020,Emirates,FEMALE,Light Vehicle,2020,Black,Private,100000,10/08/2025 12:00,low,35,76,5,1,0,0.51,0.09
07/06/2020,Emirates,FEMALE,Light Vehicle,2021,White,Private,100000,05/12/2025 12:00,medium,33,77,4,0,0,0.32,0.03
25/07/2015,Emirates,FEMALE,Light Vehicle,2021,Black,Private,200000,20/01/2026 12:00,medium,31,78,4,0,1,0.06,0.92
21/07/2017,Emirates,FEMALE,Light Vehicle,2021,Black,Private,160000,17/01/2026 12:00,medium,28,79,4,0,1,0.14,0.55
12/11/2015,Emirates,MALE,Light Vehicle,2021,Gray,Private,200000,10/05/2026 12:00,medium,77,80,4,0,1,0.07,0.87
17/01/2021,Emirates,MALE,Light Vehicle,2015,Black,Private,80000,17/07/2025 12:00,medium,75,81,10,1,1,0.65,0.73
24/05/2019,Emirates,MALE,Light Vehicle,2021,Gray,Private,120000,20/11/2025 12:00,medium,75,82,4,0,0,0.43,0.09
05/05/2017,Emirates,MALE,Light Vehicle,2018,White,Private,160000,01/11/2025 12:00,low,74,83,7,1,1,0.31,0.96
26/06/2015,Emirates,MALE,Light Vehicle,2017,Lead,Private,200000,22/12/2025 12:00,high,73,84,8,0,1,0.21,1
11/03/2017,Emirates,MALE,Light Vehicle,2020,Black,Private,160000,07/09/2025 12:00,high,69,85,5,0,1,0.37,0.8
19/04/2017,Emirates,MALE,Light Vehicle,2021,White,Private,160000,16/10/2025 12:00,low,69,86,4,1,1,0.27,0.57
12/02/2020,Emirates,MALE,Light Vehicle,2015,Red,Private,100000,11/08/2025 12:00,low,66,87,10,1,1,0.74,0.95
03/07/2019,Emirates,MALE,Light Vehicle,2010,Golden,Private,120000,30/12/2025 12:00,medium,62,88,15,0,1,0.36,1
25/03/2021,Emirates,MALE,Light Vehicle,2021,Black,Private,80000,22/09/2025 12:00,medium,61,89,4,1,0,0.64,0.01
01/05/2018,Emirates,MALE,Light Vehicle,2021,White,Private,140000,28/10/2025 12:00,high,60,90,4,0,0,0.43,0.37
19/11/2015,Emirates,MALE,Light Vehicle,2019,Black,Private,200000,17/05/2026 12:00,high,59,91,6,0,1,0.18,0.99
30/12/2019,Emirates,MALE,Light Vehicle,1971,Silver,Private,120000,28/06/2026 12:00,medium,57,92,54,0,1,0.45,1
09/05/2020,Emirates,MALE,Light Vehicle,1998,White,Private,100000,06/11/2025 12:00,medium,57,93,27,0,1,0.51,1
13/12/2018,Emirates,MALE,Light Vehicle,2021,White,Private,140000,11/06/2026 12:00,medium,57,94,4,0,0,0.25,0.33
06/06/2020,Emirates,MALE,Light Vehicle,2021,White,Private,100000,04/12/2025 12:00,high,56,95,4,0,0,0.66,0.06
30/06/2018,Emirates,MALE,Trailer,2014,Silver,Private,140000,27/12/2025 12:00,low,55,96,11,1,1,0.59,1
18/09/2018,Emirates,MALE,Light Vehicle,2021,Black,Private,140000,17/03/2026 12:00,low,54,97,4,1,0,0.25,0.28
30/12/2017,Emirates,MALE,Light Vehicle,2014,White,Private,160000,28/06/2026 12:00,medium,53,98,11,0,1,0.2,1
12/03/2015,Emirates,MALE,Trailer,2021,Silver,Private,200000,07/09/2025 12:00,medium,53,99,4,0,1,0.18,0.97
26/10/2015,Emirates,MALE,Light Vehicle,2021,White,Private,200000,23/04/2026 12:00,medium,52,100,4,0,1,0.07,0.94
29/03/2015,Emirates,MALE,Light Vehicle,2015,White,Private,200000,24/09/2025 12:00,low,51,101,10,1,1,0.11,1
30/06/2019,Emirates,MALE,Light Vehicle,2007,White,Private,120000,27/12/2025 12:00,medium,50,102,18,0,1,0.38,1
20/03/2017,Emirates,MALE,Light Vehicle,2021,Black,Private,160000,16/09/2025 12:00,high,50,103,4,0,1,0.35,0.72
10/08/2018,Emirates,MALE,Light Vehicle,2013,White,Private,140000,06/02/2026 12:00,low,47,104,12,1,1,0.35,1
20/05/2021,Emirates,MALE,Light Vehicle,2020,Black,Private,80000,17/11/2025 12:00,low,47,105,5,1,0,0.66,0.05
22/10/2016,Emirates,MALE,Light Vehicle,2020,White,Private,180000,20/04/2026 12:00,low,45,106,5,1,1,0.16,0.95
28/11/2017,Emirates,MALE,Light Vehicle,2021,White,VIP,160000,27/05/2026 12:00,medium,45,107,4,0,1,0.15,0.66
24/04/2020,Emirates,MALE,Light Vehicle,1990,Lead,Private,100000,22/10/2025 12:00,medium,44,108,35,0,1,0.54,1
26/08/2016,Emirates,MALE,Light Vehicle,2005,Silver,Private,180000,22/02/2026 12:00,medium,44,109,20,0,1,0.14,1
02/08/2015,Emirates,MALE,Light Vehicle,2017,White,Private,200000,28/01/2026 12:00,low,44,110,8,1,1,0.07,1
11/01/2017,Emirates,MALE,Light Vehicle,2021,Black,Private,160000,10/07/2025 12:00,low,44,111,4,1,1,0.16,0.65
21/02/2016,Emirates,MALE,Light Vehicle,2021,Gray,Private,180000,19/08/2025 12:00,high,44,112,4,0,1,0.2,0.9
20/07/2021,Emirates,MALE,Trailer,2006,Silver,Private,80000,17/01/2026 12:00,high,44,113,19,1,1,0.88,1
17/09/2020,Emirates,MALE,Light Vehicle,2017,Black,Private,100000,17/03/2026 12:00,medium,43,114,8,0,1,0.4,0.7
21/06/2019,Emirates,MALE,Light Vehicle,2020,White,Private,120000,18/12/2025 12:00,low,41,115,5,1,0,0.31,0.3
09/02/2021,Emirates,MALE,Light Vehicle,2021,White,Private,80000,09/08/2025 12:00,low,41,116,4,1,0,0.65,0.01
05/09/2020,Emirates,MALE,Light Vehicle,2011,White,Private,100000,05/03/2026 12:00,high,40,117,14,0,1,0.55,1
01/05/2016,Emirates,MALE,Light Vehicle,2010,Black,Private,180000,28/10/2025 12:00,medium,39,118,15,0,1,0.12,1
08/04/2021,Emirates,MALE,Light Vehicle,2018,White,Private,80000,06/10/2025 12:00,medium,38,119,7,1,0,0.5,0.23
02/11/2018,Emirates,MALE,Light Vehicle,2014,Blue,Private,140000,01/05/2026 12:00,low,36,120,11,1,1,0.31,1
15/09/2020,Emirates,MALE,Light Vehicle,2014,Golden,Private,100000,15/03/2026 12:00,low,36,121,11,1,1,0.47,0.98
18/04/2021,Emirates,MALE,Light Vehicle,2001,Black,Private,80000,16/10/2025 12:00,low,35,122,24,1,1,0.65,1
31/03/2017,Emirates,MALE,Light Vehicle,2008,White,Private,160000,27/09/2025 12:00,medium,35,123,17,0,1,0.17,1
01/11/2015,Emirates,MALE,Light Vehicle,2015,Beige,Private,200000,29/04/2026 12:00,medium,34,124,10,0,1,0.05,1
23/08/2016,Emirates,MALE,Light Vehicle,2004,Blue,Private,180000,19/02/2026 12:00,high,33,125,21,0,1,0.19,1
29/12/2017,Emirates,MALE,Light Vehicle,2015,Blue,Private,160000,27/06/2026 12:00,high,33,126,10,0,1,0.28,1
14/10/2020,Emirates,MALE,Light Vehicle,2021,Blue,Private,100000,13/04/2026 12:00,low,33,127,4,1,0,0.55,0.04
10/01/2021,Emirates,MALE,Light Vehicle,2006,White,Private,80000,10/07/2025 12:00,low,32,128,19,1,1,0.6,1
20/01/2015,Emirates,MALE,Light Vehicle,2021,Black,Private,200000,18/07/2025 12:00,low,31,129,4,1,1,0.11,0.94
16/08/2018,Emirates,MALE,Light Vehicle,2020,Black,Private,140000,12/02/2026 12:00,low,29,130,5,1,0,0.28,0.52
11/12/2017,Emirates,MALE,Light Vehicle,2021,Black,Private,160000,09/06/2026 12:00,medium,29,131,4,0,1,0.19,0.57
07/08/2016,Emirates,MALE,Light Vehicle,2014,White,Private,180000,03/02/2026 12:00,medium,28,132,11,0,1,0.1,1
19/11/2015,Emirates,MALE,Light Vehicle,2013,Brown,Private,200000,17/05/2026 12:00,low,27,133,12,1,1,0.08,1
24/05/2017,Emirates,MALE,Light Vehicle,2020,Gray,Private,160000,20/11/2025 12:00,low,27,134,5,1,1,0.19,0.78
26/08/2021,Emirates,MALE,Light Vehicle,2001,White,Private,80000,23/02/2026 12:00,high,25,135,24,1,1,0.66,1
14/04/2017,Emirates,MALE,Light Vehicle,2003,White,Private,160000,11/10/2025 12:00,medium,24,136,22,0,1,0.14,1
07/09/2018,Emirates,MALE,Light Vehicle,2017,Gray,Private,140000,06/03/2026 12:00,high,24,137,8,0,1,0.27,0.96
11/12/2019,Ethiopia,FEMALE,Light Vehicle,2007,Red,Private,120000,09/06/2026 12:00,low,41,138,18,1,1,0.46,1
04/08/2017,Ethiopia,MALE,Light Vehicle,2014,Red,Private,160000,31/01/2026 12:00,medium,43,139,11,0,1,0.18,1
09/11/2021,France,FEMALE,Light Vehicle,2018,Silver alloy,Private,80000,09/05/2026 12:00,high,35,140,7,1,0,0.71,0.33
19/10/2021,France,FEMALE,Light Vehicle,2015,White,Private,80000,18/04/2026 12:00,medium,30,141,10,1,1,0.54,0.87
29/10/2016,France,MALE,Light Vehicle,2021,Gray,Private,180000,27/04/2026 12:00,medium,53,142,4,0,1,0.12,0.8
10/07/2018,France,MALE,Light Vehicle,2013,Blue,Private,140000,06/01/2026 12:00,medium,45,143,12,0,1,0.25,1
11/02/2017,France,MALE,Light Vehicle,2018,White,Private,160000,10/08/2025 12:00,high,43,144,7,0,1,0.32,0.98
30/12/2016,France,MALE,Light Vehicle,1968,Red,Private,180000,28/06/2026 12:00,medium,40,145,57,0,1,0.15,1
13/04/2015,France,MALE,Motor Cycle,2004,Black,Private,200000,09/10/2025 12:00,medium,40,146,21,0,1,0.13,1
16/04/2019,Germany,MALE,Light Vehicle,2015,Red,Private,120000,13/10/2025 12:00,medium,57,147,10,0,1,0.4,0.98
25/07/2018,Germany,MALE,Light Vehicle,2017,Blue,Private,140000,21/01/2026 12:00,medium,37,148,8,0,1,0.22,0.97
23/05/2015,Great Britain,MALE,Light Vehicle,2018,Black,Private,200000,18/11/2025 12:00,low,42,149,7,1,1,0.08,1
18/12/2016,Greece,MALE,Light Vehicle,2017,Blue,Private,180000,16/06/2026 12:00,medium,48,150,8,0,1,0.13,1
22/05/2021,Greece,MALE,Light Vehicle,2015,White,Private,80000,19/11/2025 12:00,medium,38,151,10,1,1,0.62,0.88
25/09/2016,India,FEMALE,Light Vehicle,2020,Gray,Private,180000,24/03/2026 12:00,low,56,152,5,1,1,0.18,0.94
06/01/2016,India,FEMALE,Light Vehicle,2014,White,Private,180000,04/07/2025 12:00,medium,51,153,11,0,1,0.11,1
18/06/2018,India,FEMALE,Light Vehicle,2014,Silver,Private,140000,15/12/2025 12:00,high,48,154,11,0,1,0.45,1
05/12/2021,India,FEMALE,Light Vehicle,2017,Silver,Private,80000,04/06/2026 12:00,high,47,155,8,1,1,0.76,0.34
02/10/2016,India,FEMALE,Light Vehicle,2012,White,Private,180000,31/03/2026 12:00,medium,43,156,13,0,1,0.12,1
07/10/2019,India,FEMALE,Light Vehicle,2018,White,Private,120000,05/04/2026 12:00,medium,40,157,7,0,0,0.34,0.66
11/05/2020,India,FEMALE,Light Vehicle,2021,Gray,Private,100000,08/11/2025 12:00,medium,38,158,4,0,0,0.45,0.03
19/09/2016,India,MALE,Light Vehicle,2021,White,Private,180000,18/03/2026 12:00,high,65,159,4,0,1,0.18,0.81
09/02/2020,India,MALE,Light Vehicle,2004,White,Private,100000,08/08/2025 12:00,high,63,160,21,0,1,0.69,1
15/08/2017,India,MALE,Light Vehicle,2016,Silver,Private,160000,11/02/2026 12:00,high,63,161,9,0,1,0.36,0.99
18/06/2019,India,MALE,Light Vehicle,2020,White,Private,120000,15/12/2025 12:00,medium,62,162,5,0,0,0.4,0.14
22/06/2019,India,MALE,Light Vehicle,2021,Black,Private,120000,19/12/2025 12:00,medium,62,163,4,0,0,0.31,0.1
24/10/2018,India,MALE,Light Vehicle,2011,Blue,Private,140000,22/04/2026 12:00,medium,61,164,14,0,1,0.3,1
08/09/2015,India,MALE,Light Vehicle,2007,White,Private,200000,06/03/2026 12:00,medium,58,165,18,0,1,0.09,1
21/11/2020,India,MALE,Light Vehicle,2012,White,Private,100000,21/05/2026 12:00,low,58,166,13,1,1,0.6,1
07/04/2017,India,MALE,Light Vehicle,2006,Silver,Private,160000,04/10/2025 12:00,medium,55,167,19,0,1,0.21,1
01/05/2016,India,MALE,Light Vehicle,2017,White,Private,180000,28/10/2025 12:00,medium,55,168,8,0,1,0.13,1
23/04/2015,India,MALE,Light Vehicle,2020,Golden,Private,200000,19/10/2025 12:00,medium,55,169,5,0,1,0.09,0.97
24/02/2019,India,MALE,Light Vehicle,2014,Beige,Private,120000,23/08/2025 12:00,medium,54,170,11,0,1,0.3,0.99
22/10/2019,India,MALE,Light Vehicle,2015,Blue,Private,120000,20/04/2026 12:00,medium,54,171,10,0,1,0.32,0.97
15/02/2015,India,MALE,Light Vehicle,2015,Black,Private,200000,13/08/2025 12:00,low,53,172,10,1,1,0.11,1
20/08/2018,India,MALE,Light Vehicle,2008,Blue,Private,140000,16/02/2026 12:00,low,50,173,17,1,1,0.29,1
20/08/2016,India,MALE,Light Vehicle,2003,Black,Private,180000,16/02/2026 12:00,high,49,174,22,0,1,0.25,1
24/07/2019,India,MALE,Light Vehicle,2013,White,Private,120000,20/01/2026 12:00,low,49,175,12,1,1,0.43,1
28/03/2016,India,MALE,Light Vehicle,2021,Blue,Private,180000,24/09/2025 12:00,medium,49,176,4,0,1,0.12,0.72
19/11/2019,India,MALE,Light Vehicle,2021,Blue,Private,120000,18/05/2026 12:00,high,49,177,4,0,0,0.52,0.1
07/10/2017,India,MALE,Light Vehicle,2009,Black,Private,160000,05/04/2026 12:00,medium,47,178,16,0,1,0.18,1
09/08/2021,India,MALE,Light Vehicle,2015,Silver,Private,80000,06/02/2026 12:00,low,46,179,10,1,1,0.66,0.86
22/12/2015,India,MALE,Light Vehicle,2021,Silver,Private,200000,19/06/2026 12:00,medium,46,180,4,0,1,0.07,0.94
02/06/2017,India,MALE,Light Vehicle,2014,Red,Private,160000,29/11/2025 12:00,medium,45,181,11,0,1,0.15,1
07/11/2015,India,MALE,Light Vehicle,2018,Black,Private,200000,05/05/2026 12:00,medium,44,182,7,0,1,0.07,1
06/07/2021,India,MALE,Light Vehicle,2020,Black,Private,80000,03/01/2026 12:00,high,44,183,5,1,0,0.66,0.02
25/02/2021,India,MALE,Light Vehicle,2021,Black,Private,80000,25/08/2025 12:00,high,44,184,4,1,0,0.6,0.02
10/11/2016,India,MALE,Light Vehicle,2014,Gray,Private,180000,09/05/2026 12:00,high,43,185,11,0,1,0.18,1
03/09/2019,India,MALE,Light Vehicle,2018,White,Private,120000,02/03/2026 12:00,high,43,186,7,0,0,0.52,0.68
12/10/2020,India,MALE,Light Vehicle,2018,Blue,Private,100000,11/04/2026 12:00,high,43,187,7,0,0,0.63,0.41
02/12/2018,India,MALE,Light Vehicle,2021,White,Private,140000,31/05/2026 12:00,high,43,188,4,0,0,0.36,0.28
07/10/2018,India,MALE,Light Vehicle,2009,White,Private,140000,05/04/2026 12:00,medium,42,189,16,0,1,0.21,1
01/10/2016,India,MALE,Light Vehicle,2015,Silver,Private,180000,30/03/2026 12:00,high,42,190,10,0,1,0.2,1
15/09/2015,India,MALE,Light Vehicle,2015,White,Private,200000,13/03/2026 12:00,medium,42,191,10,0,1,0.05,1
21/04/2021,India,MALE,Light Vehicle,2015,Silver,Private,80000,19/10/2025 12:00,low,42,192,10,1,1,0.67,0.77
30/04/2021,India,MALE,Light Vehicle,2020,Black,Private,80000,28/10/2025 12:00,medium,42,193,5,1,0,0.57,0.02
21/06/2019,India,MALE,Light Vehicle,2020,Gray,Private,120000,18/12/2025 12:00,medium,42,194,5,0,0,0.35,0.18
28/05/2017,India,MALE,Light Vehicle,2017,Blue,Private,160000,24/11/2025 12:00,high,41,195,8,0,1,0.28,0.98
25/06/2017,India,MALE,Light Vehicle,2021,White,Private,160000,22/12/2025 12:00,high,41,196,4,0,1,0.25,0.74
02/02/2020,India,MALE,Light Vehicle,2016,Blue,Private,100000,01/08/2025 12:00,high,40,197,9,0,1,0.62,0.84
21/04/2021,India,MALE,Light Vehicle,2014,Silver,Private,80000,19/10/2025 12:00,high,39,198,11,1,1,0.72,0.91
24/03/2021,India,MALE,Light Vehicle,2017,White,Private,80000,21/09/2025 12:00,high,39,199,8,1,1,0.65,0.47
01/07/2020,India,MALE,Light Vehicle,2017,White,Private,100000,29/12/2025 12:00,high,38,200,8,0,1,0.6,0.78
15/07/2019,India,MALE,Light Vehicle,2020,Gray,Private,120000,11/01/2026 12:00,high,38,201,5,0,0,0.5,0.25
22/08/2015,India,MALE,Light Vehicle,2021,Blue,Private,200000,17/02/2026 12:00,high,38,202,4,0,1,0.1,0.92
22/02/2016,India,MALE,Motor Cycle,2015,Blue,Private,180000,20/08/2025 12:00,medium,38,203,10,0,1,0.16,1
25/04/2021,India,MALE,Motor Cycle,2015,Blue,Private,80000,23/10/2025 12:00,high,38,204,10,1,1,0.8,0.77
08/04/2019,India,MALE,Light Vehicle,2008,Gray,Private,120000,05/10/2025 12:00,medium,37,205,17,0,1,0.27,1
26/01/2015,India,MALE,Light Vehicle,2009,Silver,Private,200000,24/07/2025 12:00,medium,37,206,16,0,1,0.07,1
09/10/2015,India,MALE,Light Vehicle,2015,Black,Private,200000,06/04/2026 12:00,medium,37,207,10,0,1,0.07,1
13/09/2019,India,MALE,Light Vehicle,2011,Black,Private,120000,12/03/2026 12:00,high,36,208,14,0,1,0.49,1
